#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P37023	P37173	1	TGF_beta_Receptor	7	physical	ACVRL1	TGFBR2	P37023	P37173	0
Q9H1A4	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC10	Q9H1A4	Q9UM13	0
Q9H1A4	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC5	Q9H1A4	Q9UJX4	0
Q9H1A4	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC1	CDC23	Q9H1A4	Q9UJX2	0
Q9H1A4	P30260	1	TGF_beta_Receptor	7	physical	ANAPC1	CDC27	Q9H1A4	P30260	0
Q9H1A4	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC1	FZR1	Q9H1A4	Q9UM11	0
Q9UM13	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC1	Q9UM13	Q9H1A4	0
Q9UM13	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC2	Q9UM13	Q9UJX6	0
Q9UM13	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC4	Q9UM13	Q9UJX5	0
Q9UM13	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC10	CDC16	Q9UM13	Q13042	0
Q9UM13	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC10	CDC23	Q9UM13	Q9UJX2	0
Q9UM13	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC10	FZR1	Q9UM13	Q9UM11	0
Q9UJX6	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC10	Q9UJX6	Q9UM13	0
Q9UJX6	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC5	Q9UJX6	Q9UJX4	0
Q9UJX6	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC2	CDC23	Q9UJX6	Q9UJX2	0
Q9UJX6	P30260	1	TGF_beta_Receptor	7	physical	ANAPC2	CDC27	Q9UJX6	P30260	0
Q9UJX5	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC10	Q9UJX5	Q9UM13	0
Q9UJX5	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC5	Q9UJX5	Q9UJX4	0
Q9UJX5	Q9UJX3	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC7	Q9UJX5	Q9UJX3	0
Q9UJX5	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC4	CDC23	Q9UJX5	Q9UJX2	0
Q9UJX5	P30260	1	TGF_beta_Receptor	7	physical	ANAPC4	CDC27	Q9UJX5	P30260	0
Q9UJX5	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC4	FZR1	Q9UJX5	Q9UM11	0
Q9UJX4	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC1	Q9UJX4	Q9H1A4	0
Q9UJX4	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC2	Q9UJX4	Q9UJX6	0
Q9UJX4	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC4	Q9UJX4	Q9UJX5	0
Q9UJX4	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC5	FZR1	Q9UJX4	Q9UM11	0
Q9UJX3	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC7	ANAPC4	Q9UJX3	Q9UJX5	0
Q9UJX3	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC16	Q9UJX3	Q13042	0
Q9UJX3	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC23	Q9UJX3	Q9UJX2	0
Q9UJX3	P30260	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC27	Q9UJX3	P30260	0
P63010	P37173	1	TGF_beta_Receptor	7	physical	AP2B1	TGFBR2	P63010	P37173	0
P32121	Q03167	1	TGF_beta_Receptor	7	physical	ARRB2	TGFBR3	P32121	Q03167	0
P15336	Q13485	1	TGF_beta_Receptor	7	physical	ATF2	SMAD4	P15336	Q13485	0
O15169	Q15796	1	TGF_beta_Receptor	7	physical	AXIN1	SMAD2	O15169	Q15796	0
O15169	P84022	1	TGF_beta_Receptor	7	physical	AXIN1	SMAD3	O15169	P84022	0
O15169	P36897	1	TGF_beta_Receptor	7	physical	AXIN1	TGFBR1	O15169	P36897	0
P56945	P84022	1	TGF_beta_Receptor	7	physical	BCAR1	SMAD3	P56945	P84022	0
P56945	TGFBR	1	TGF_beta_Receptor	7	physical	BCAR1	TGFBR	P56945	TGFBR	0
Q9Y297	P84022	1	TGF_beta_Receptor	7	Ubiquitination	BTRC	SMAD3	Q9Y297	P84022	0
Q9Y297	P84022	1	TGF_beta_Receptor	7	physical	BTRC	SMAD3	Q9Y297	P84022	0
