#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
O43823	Q04206	1	TNFalpha	9	physical	AKAP8	RELA	O43823	Q04206	0
P31749	Q09472	1	TNFalpha	9	physical	AKT1	EP300	P31749	Q09472	0
P31751	O15111	1	TNFalpha	9	Phosphorylation	AKT2	CHUK	P31751	O15111	0
P05186	Q13114	1	TNFalpha	9	physical	ALPL	TRAF3	P05186	Q13114	0
O95429	P19438	1	TNFalpha	9	physical	BAG4	TNFRSF1A	O95429	P19438	0
Q07812	P55957	1	TNFalpha	9	physical	BAX	BID	Q07812	P55957	0
P55957	Q07812	1	TNFalpha	9	physical	BID	BAX	P55957	Q07812	0
Q13490	Q13489	1	TNFalpha	9	physical	BIRC2	BIRC3	Q13490	Q13489	0
Q13490	Q14790	1	TNFalpha	9	physical	BIRC2	CASP8	Q13490	Q14790	0
Q13490	Q13546	1	TNFalpha	9	physical	BIRC2	RIPK1	Q13490	Q13546	0
Q13490	P19438	1	TNFalpha	9	physical	BIRC2	TNFRSF1A	Q13490	P19438	0
Q13490	Q15628	1	TNFalpha	9	physical	BIRC2	TRADD	Q13490	Q15628	0
Q13490	Q13077	1	TNFalpha	9	physical	BIRC2	TRAF1	Q13490	Q13077	0
Q13490	Q12933	1	TNFalpha	9	physical	BIRC2	TRAF2	Q13490	Q12933	0
Q13490	Q12933	1	TNFalpha	9	Ubiquitination	BIRC2	TRAF2	Q13490	Q12933	0
Q13489	Q13490	1	TNFalpha	9	physical	BIRC3	BIRC2	Q13489	Q13490	0
Q13489	Q9NR28	1	TNFalpha	9	physical	BIRC3	DIABLO	Q13489	Q9NR28	0
Q9Y297	Q13616	1	TNFalpha	9	physical	BTRC	CUL1	Q9Y297	Q13616	0
Q9Y297	P25963	1	TNFalpha	9	Ubiquitination	BTRC	NFKBIA	Q9Y297	P25963	0
Q9Y297	P25963	1	TNFalpha	9	physical	BTRC	NFKBIA	Q9Y297	P25963	0
Q9Y297	O00221	1	TNFalpha	9	physical	BTRC	NFKBIE	Q9Y297	O00221	0
Q9Y297	Q13200	1	TNFalpha	9	physical	BTRC	PSMD2	Q9Y297	Q13200	0
Q9Y297	P63208	1	TNFalpha	9	physical	BTRC	SKP1	Q9Y297	P63208	0
Q9Y297	Q9UHD2	1	TNFalpha	9	physical	BTRC	TBK1	Q9Y297	Q9UHD2	0
Q9Y297	P19438	1	TNFalpha	9	physical	BTRC	TNFRSF1A	Q9Y297	P19438	0
Q9Y297	P20333	1	TNFalpha	9	physical	BTRC	TNFRSF1B	Q9Y297	P20333	0
Q9Y297	Q15628	1	TNFalpha	9	physical	BTRC	TRADD	Q9Y297	Q15628	0
Q92851	O15519	1	TNFalpha	9	physical	CASP10	CFLAR	Q92851	O15519	0
Q92851	Q13158	1	TNFalpha	9	physical	CASP10	FADD	Q92851	Q13158	0
Q92851	Q13077	1	TNFalpha	9	physical	CASP10	TRAF1	Q92851	Q13077	0
Q92851	Q12933	1	TNFalpha	9	physical	CASP10	TRAF2	Q92851	Q12933	0
P42574	O14920	1	TNFalpha	9	Proteolytic	CASP3	IKBKB	P42574	O14920	0
P55210	P19438	1	TNFalpha	9	protein_cleavage	CASP7	TNFRSF1A	P55210	P19438	0
Q14790	P55957	1	TNFalpha	9	Proteolytic	CASP8	BID	Q14790	P55957	0
Q14790	Q13490	1	TNFalpha	9	physical	CASP8	BIRC2	Q14790	Q13490	0
Q14790	Q13158	1	TNFalpha	9	physical	CASP8	FADD	Q14790	Q13158	0
Q14790	Q99558	1	TNFalpha	9	protein_cleavage	CASP8	MAP3K14	Q14790	Q99558	0
Q14790	Q9Y572	1	TNFalpha	9	physical	CASP8	RIPK3	Q14790	Q9Y572	0
Q14790	P21580	1	TNFalpha	9	physical	CASP8	TNFAIP3	Q14790	P21580	0
Q14790	Q15628	1	TNFalpha	9	physical	CASP8	TRADD	Q14790	Q15628	0
Q03135	Q12933	1	TNFalpha	9	physical	CAV1	TRAF2	Q03135	Q12933	0
O60563	P50750	1	TNFalpha	9	physical	CCNT1	CDK9	O60563	P50750	0
P49427	P25963	1	TNFalpha	9	Ubiquitination	CDC34	NFKBIA	P49427	P25963	0
Q16543	P07900	1	TNFalpha	9	physical	CDC37	HSP90AA1	Q16543	P07900	0
Q16543	O14920	1	TNFalpha	9	physical	CDC37	IKBKB	Q16543	O14920	0
Q16543	Q99759	1	TNFalpha	9	physical	CDC37	MAP3K3	Q16543	Q99759	0
Q16543	O43318	1	TNFalpha	9	physical	CDC37	MAP3K7	Q16543	O43318	0
