#node1	node2
P22694	Q09472
P60953	Q9BYG4
P46779	P62987
P35442	P61812
O60674	P48551
P00519	P29353
O95685	P46020
Q00987	Q8N9B5
P48544	Q9P2W3
P01568	Q04206
Q13952	Q7Z3K3
O95918	P38405
P12931	P17302
P09769	Q6S5L8
P11021	Q13315
P55210	Q14203
O60306	Q9BRX9
O95359	Q92831
Q96EZ8	Q9BQD3
P33992	Q9UJX2
O75478	Q9H8E8
O75528	Q8NEM7
P09012	Q9BQ61
P40937	P40938
P11021	Q92844
Q13526	Q15796
Q13765	Q5UIP0
P07305	Q8NC60
O15145	P42768
P63096	Q16539
O75175	Q99459
P53992	P55735
Q13233	Q96B02
Q99880	Q9P0M6
Q13616	Q7Z6M2
P39023	Q92597
P78396	Q9P253
406888	P01111
P05060	Q13885
P04792	Q13573
P19174	Q96EV8
O75113	Q9H6S1
P30101	Q8N8Z6
P24385	Q9HCU9
P38432	Q16637
P78545	Q9NSB4
P08134	P42331
P60484	Q92569
P11474	Q16665
O15264	P07196
P45984	Q9BY84
O00505	Q00978
P21333	Q8IY92
P35626	Q8NGF3
Q8NBJ4	Q9Y6H6
Q13315	Q9UJZ1
Q13418	Q9P031
P78352	Q8N2Q7
O14775	O95622
Q14683	Q9BV47
P04637	P19525
P06241	Q15427
O60506	P01106
P20340	P40337
P07199	Q9UGN5
P13639	Q92597
Q15173	Q8WXS5
P62258	Q99759
P21246	Q92963
P78369	Q8N7P3
P17301	P20908
P35626	Q8NGG8
O15264	P07737
Q13261	Q9NPH9
Q8NFZ5	Q9UKG9
P30480	Q9UL25
P22607	Q9ULV8
P19525	Q9BY44
Q01668	Q14738
Q92806	Q9HAV0
P09603	P17948
O43312	P23468
P02458	P26012
P05412	P48507
P20073	Q5SZQ8
Q9BXF6	Q9H4M9
P51784	Q06587
P41208	P54727
P06400	P42685
P01243	Q16186
Q6UX71	Q92542
P22301	Q9HC73
P45983	P68032
P56597	Q04206
P15153	P42684
Q8TEQ6	Q99683
P51668	Q9H0F5
P29622	Q92956
Q96JB5	Q9UGJ1
P45983	Q9UQF2
