#node1	node2
O00459	P14616
O00151	O75582
Q8IY92	Q9P013
P31946	Q12802
Q05397	Q92569
Q96HA7	Q9Y5B9
Q01959	Q9UQM7
P23443	Q15118
P04183	P61978
P62917	Q13573
O95169	P56556
P13693	Q16643
P18077	P29372
O43639	Q13418
P08134	P98171
P01137	Q9HBG4
P01116	Q15349
P04179	P62330
O15211	Q9GZT6
P19174	Q05996
P42766	P61313
P78406	Q13573
Q09472	Q13569
P30876	P42684
O60763	Q99459
343477	P21246
O60840	P62140
P19838	Q92851
O00329	P10721
P60953	P63261
Q9NPB6	Q9NUG6
O15243	P48357
P07437	Q9Y6K9
Q09028	Q8NHZ7
P58107	P63010
O43765	P21246
Q14451	Q15303
Q15223	Q92692
Q92993	Q99832
O14775	P05129
Q13315	Q99426
P17252	P19883
P05455	P22392
Q9UHD2	Q9Y230
O43390	P38159
P18146	Q5BJF2
P10415	Q96BY2
P19838	P31749
P17480	Q9GZS1
P99999	Q01094
O00459	Q9ULV8
P61006	Q96C24
Q15311	Q96CW1
P04141	P28482
P12931	Q9NRJ4
P09234	Q01844
P42858	Q13127
P99999	Q9Y478
407024	Q9UBC3
P13612	P26010
O95168	O95298
P15374	Q15797
P46094	Q99616
Q5T4F7	Q9UBV4
P38405	Q8TCB6
P19224	P41235
P12931	Q13087
P04075	Q8IZH2
Q00839	Q15843
P24928	Q8TAQ2
P07910	Q13242
Q96RN5	Q9GZV5
P07948	Q9Y6Q6
P12814	Q99816
Q13094	Q7Z5R6
P60953	Q9BRR9
P40145	Q9NZT1
P51812	Q13164
P34932	Q6P1J9
P01584	Q9NPH3
Q8IY92	Q92889
P10275	P61978
Q13243	Q8IYB3
O00459	P05107
O60934	P63165
P04637	Q969H0
P26442	Q9Y2X8
A6NMZ7	P18084
P29350	Q03135
P04626	Q13882
P10415	P62136
Q969U7	Q9Y244
P15336	P68400
Q13315	Q2KHR3
P09874	Q7Z2E3
Q16665	Q58FF6
P43364	Q7Z6G8
P35968	Q9HCE7
Q13522	Q96SB3
P31943	Q00653
P18146	Q96T37
P17509	P55347
P17252	Q15361
Q14197	Q9BYD1
P46781	P62249
P60953	Q5HYC2
Q04206	Q08211
P24941	Q12974
P06703	Q00987
O43597	P62993
P22681	Q06124
P10914	P42224
Q00839	Q92844
P04233	Q02556
A6ZKI3	Q9UMX0
P61254	P62910
P29373	P30281
Q15303	Q9BTT6
O15264	Q16644
O95433	Q9HC98
Q13349	Q9HB31
Q12988	Q13432
Q13144	Q9NR50
P08631	P98077
Q5RL73	Q9BPY3
O15455	P27986
P01876	P02533
O95467	Q99677
P30405	Q02156
Q13683	Q9Y4G6
Q13643	Q8IXK0
Q6ZSY5	Q8TD86
P52735	Q92564
Q13573	Q8TF72
Q16539	Q9P2G9
Q99466	Q9Y219
P35372	P49407
P00491	Q9UKY1
O94782	Q9BXW9
Q5XKP0	Q9BRX2
P84077	Q9NZ52
P83916	Q9UER7
P49411	P56537
P62241	P63220
O75899	P63096
P10415	P67775
O95715	P25024
O15357	P29353
P62136	P63208
P04183	P62328
P23219	Q16539
P16471	Q15303
Q8IUC6	Q92844
P23945	Q8NEU8
P05388	P40429
P32121	Q6DKI1
P49716	Q8IXL7
P21728	P50148
P04637	P50453
O95837	P11229
Q13838	Q9UKY1
P63027	Q9P0L0
Q9NV56	Q9Y265
P61964	Q13114
P17181	P63244
P01033	P24534
P08670	Q8NC51
A8MT69	Q0VG06
P03372	P31751
O43916	P31947
P31751	P62714
O14746	P01106
P27361	Q70SY1
Q00978	Q9UI08
A8K6C2	Q5VWK5
P27694	Q8TD31
Q07889	Q9NZL6
O75326	P05556
P84243	Q9Y6K1
P16070	Q92888
P16070	Q9H9S0
P31785	P42224
P09769	Q03405
P10398	P53779
Q13057	Q9UBS0
P30480	P52272
P17947	P43119
P19525	Q02447
O95257	P26641
Q14566	Q9UBU7
P00403	P62258
P24864	Q9Y468
P08107	Q00613
P37173	Q12931
P52948	Q8TEM1
P15391	Q6ZUJ8
P51677	Q16663
406885	Q2Q1W2
P07237	Q9UHX1
P35916	Q9HCT0
P02768	Q13129
P01106	Q8IWA0
O14497	Q9UJX2
P26951	Q9NPH9
P18206	Q08380
P53708	Q9UKX5
O15162	Q9NYG5
P12931	P35326
P17948	Q99962
P10636	P23443
Q01196	Q99706
P41182	P42224
P08047	Q92819
P22612	P63215
P02743	P24071
P17028	P51693
P22607	Q9NQ66
P47914	P49207
O95622	P17612
O14530	Q9P2H0
C9JDP6	O95484
P23528	P53667
Q8TBE0	Q96KG7
P50570	Q9NX70
P19086	Q13255
Q14957	Q96RT1
P01019	P62993
Q7Z6L1	Q99832
P52272	Q01844
P0C5Y9	Q16778
406991	P36952
O15524	P16471
P49674	P62877
P78330	Q9NVP2
P36897	Q9NW61
Q13315	Q9UF12
O96017	Q9H4B4
P13725	P23458
P18146	P40763
Q5VWQ8	Q9BY43
P42336	Q13480
Q92698	Q9Y383
O95382	Q04917
P01889	P20290
P59998	Q07889
O95169	O95182
Q15834	Q9BVJ6
P17936	P35555
P13747	P61769
O00506	Q9BUL8
P46779	P62899
P62273	Q9Y6J8
Q96BA8	Q9NR55
O60503	Q13554
Q15714	Q9UQ03
P49736	Q6P2H3
P08590	P63104
407007	P03372
O15264	P62263
P50539	P61244
P30305	P67870
P0CG48	Q9HAU4
P25054	Q8IVL0
P31749	Q92922
P30793	Q02447
P15509	P27986
P31943	Q12986
Q93079	Q9UQL6
P62140	Q9BXT2
P46940	Q15653
P04629	Q9Y4K3
O60290	P54259
P25054	P35222
P78317	Q9UHF7
P38159	Q14683
Q99759	Q9BV68
P18146	Q9NUR3
Q01484	Q14573
P84022	P98177
P06493	Q9UM13
O15409	Q9H334
P18124	P46777
P01730	P61073
O95918	P32121
P27707	Q9UMR2
Q9HAF1	Q9NV56
Q14289	Q99683
O43318	P19838
O14775	P20073
P18146	Q5JTC6
P42702	Q8IZJ0
P16220	Q6ZUT1
Q7L591	Q8WV28
Q9GZT8	Q9Y3Q8
P55036	Q13200
P62714	Q9Y4K3
O60518	P22392
Q13573	Q9UFC0
O95760	Q01638
P05556	P49747
O43182	Q07890
P08758	Q04637
P25963	P42574
P67870	Q99504
P11362	P42338
P12814	P68133
P54259	P61289
Q9H0N5	Q9Y463
P50148	Q9UGN5
Q15382	Q9UI14
P04183	Q09028
P23508	Q96QK1
O15360	P19174
O43556	Q96LD1
Q99623	Q9NZU0
Q13535	Q9HAW4
P49407	Q16627
P15374	Q9H078
P07996	P15692
P10515	Q15120
P08238	P53041
P62837	Q96EP1
Q495A1	Q92692
P08700	Q99650
P02768	Q9UQC9
Q13387	Q9UBS0
P46531	Q06710
P15153	Q14CB8
P01588	Q99665
P63244	Q9Y561
O00459	P31749
P16104	Q13765
P22392	Q00005
Q13535	Q5TCZ1
P35225	P78552
P54259	Q9ULU4
P45984	P62834
Q04759	Q9BXL7
Q68CJ9	Q93009
P01891	P43358
P05129	P15336
