#node1	node2
P20701	P36941
P48736	P63000
P02768	Q9Y383
P29350	Q13651
P63104	Q99759
P01111	Q16204
Q9HAU4	Q9NP98
P10275	P23771
Q15078	Q9BX63
Q8WUI4	Q99880
P43364	Q92530
O94762	P62487
O14965	Q16600
O14818	Q9P2G9
O60244	Q9Y3C7
Q00005	Q13522
P54253	Q15032
P05771	P62993
O75116	P10916
Q9BZL6	Q9Y5J3
P19793	Q99743
Q13573	Q96N46
O60674	P48357
P63104	Q01105
O60563	Q15596
O14976	O15169
P41279	Q12933
Q99417	Q9HC24
P19838	Q9BUF5
P14866	Q16629
P42701	Q16619
Q15369	Q8N668
O94806	Q9H0R8
P98082	Q15796
Q14164	Q9HAV4
P50502	Q14164
P62891	P83881
Q86V81	Q8IX12
P18077	P39023
P11362	P42338
P22301	P48357
P15976	P17947
P62910	P62945
P62424	Q02543
P60866	P62280
P12644	Q13873
P19174	P20273
P05161	P14316
O95619	Q9UBU8
Q14197	Q9H2W6
P62913	Q9Y4A5
Q06587	Q93009
P19419	P20226
P40238	Q9ULV8
O15245	Q96G23
P07910	Q07955
P08238	P31749
O60925	P10645
Q13535	Q9BW66
P51812	P67870
P12081	P24534
O95714	Q9NRI5
Q08999	Q13547
P51532	Q01201
P35638	Q96RU7
Q07890	Q8NHR9
P07910	Q15365
Q02952	Q13315
O00625	Q14938
O60583	P78527
O75525	Q99873
P55060	P61981
O00339	P02462
P38936	Q86U86
P36897	P46937
P38405	Q96RC9
P31751	Q9H0K1
O75971	Q16533
O76039	P06241
Q15788	Q9UPX8
Q8TBE9	Q9H8Y8
O75791	Q13094
Q96KM6	Q9NS37
Q13501	Q14596
O75815	P49755
O60925	Q6ZU52
