#node1	node2
O60238	P32456
O43663	Q15653
P09619	P16885
Q86UE4	Q9NX58
P41182	Q9NYH9
P49407	Q13428
O75461	P12004
O00214	P02647
P84022	Q99814
O75676	P67870
P28908	Q13114
P27361	P48039
P13945	P38405
P01833	P13501
P60709	Q96QU8
O14508	Q14765
O95819	P11021
P84085	Q99755
P06241	Q9UI08
P31946	Q9Y2U5
P46940	P58107
P05305	P35318
O60739	Q9NR99
O14964	P08727
P42677	P62841
P01106	Q7Z4Q2
P24593	P46379
P51679	Q07325
O00295	Q01844
P52803	P55157
P22090	P42677
P42768	P61158
P15509	Q8IZI9
P84022	Q9Y6X2
406889	P01112
P19174	Q14315
P67775	Q9H7D0
O00141	P41252
Q13330	Q86YP4
P32121	Q9Y2T4
O95166	Q9UN88
9757	P62993
Q96ES6	Q99750
P21246	Q99689
Q07157	Q9Y5S2
O75791	Q9BQ66
P19838	Q16663
P27986	Q99490
P26639	Q9Y4K3
O75800	Q9H992
O96006	Q9GZT8
Q01344	Q9NYY1
O95931	P68431
P41221	Q96HF1
P11171	P16152
P28482	P46695
O60674	P06241
P24821	P56199
P42680	Q99952
P05387	P18077
P46109	Q04721
Q8TDB6	Q969T4
Q15700	Q9GZV5
O95400	P06729
O43809	Q5RKV6
P10644	P25054
O15287	Q06547
P04181	Q14197
P01106	P52597
O75309	P18146
P26927	Q9NS23
P12931	Q13023
P13501	P32248
P04637	Q5JR12
P07602	P63104
P12004	P68104
O60814	P20671
P12757	Q07954
Q8WVB3	Q9NX46
O60674	P13725
P10415	P62714
O14640	Q9ULW2
O75197	Q9UBP4
P06493	P30307
Q01970	Q14332
O94906	P14678
Q13247	Q15365
O60232	Q8N5R6
O75581	P19022
Q8N3U4	Q9NTI5
P11021	Q12933
O75182	Q92769
P07288	P16401
P16403	Q96EB6
P17516	Q14541
O75365	P57678
O60645	Q13573
P08708	P60866
P46937	Q99594
P18146	P62070
Q5SZQ8	Q9NWB1
P07355	P30480
Q7L0Q8	Q9H0H5
Q6DKK2	Q7Z699
P60903	Q15047
Q12874	Q15834
Q8N7P3	Q9UDY2
P43405	Q15303
P53618	Q96RT1
O43251	P09234
406995	Q13315
P35498	P63211
Q71U36	Q96CW5
P30480	P37802
P05019	P06213
Q15008	Q9BV73
P04637	P63151
P04150	Q99816
P19174	Q8TB24
P42768	P63261
P49454	Q9UM73
Q8N257	Q9C005
P16220	P35453
Q16513	Q99459
Q7Z2G1	Q8WUI4
A6NKT7	P63165
P24394	P29353
P04216	P06241
O15085	P61586
O94856	P55157
O75970	Q9NSI5
O15379	Q13489
O00329	P06239
P16104	Q15843
Q13017	Q9HAU4
Q13409	Q9BQE3
Q8IWW6	Q92730
P05109	P68366
P04150	P04234
Q9BWU1	Q9NVC6
P60763	Q9P227
P04637	P13611
P38405	Q8NG76
P10721	Q92529
Q8IWX8	Q9NWB6
O75807	Q13907
P32121	Q8NG85
P01106	Q14683
O95816	Q9GZX7
P25205	Q9Y4K3
O60331	O60716
Q8N983	Q9NY93
Q6NZ67	Q9BSJ2
O00193	Q75N90
P16220	Q86XF7
P0CG48	Q9NS91
O15294	Q9H1M0
P62424	Q92901
Q16637	Q16891
P02511	P05813
Q15102	Q8N8V2
O60684	P00966
O95402	P52434
P04908	Q9UKV0
P16333	Q9NZV5
Q99880	Q9UPS6
P04637	P48729
P08648	Q01955
Q96KM6	Q9NRG4
P46092	Q16663
P54253	Q9H4A3
P01588	P15509
P35626	Q8NH76
P15509	Q16619
P38405	Q8NGQ1
P04637	P08253
Q96HC4	Q9UM73
P26373	P61353
Q9NPD8	Q9Y675
Q9BQE3	Q9H4B7
Q6UVJ0	Q9BV73
O15121	P53985
Q03167	Q9UER7
P26358	Q9UK32
P12931	Q15654
P62807	Q96RL1
P00505	P30480
P62837	Q86XR8
O95445	Q99612
P10147	P51679
P55795	Q13247
P42677	Q00653
P27361	Q9NYJ8
P09668	P41220
O14490	P62993
P19387	Q5T3J3
O60840	Q16558
P29350	Q5UE93
P08138	Q9NP95
O95251	Q96BR9
Q13418	Q14790
O60244	Q15528
O75478	Q9BRQ0
O15400	Q9BV40
Q6P2Q9	Q9Y675
Q04724	Q9H2X6
O14920	Q92844
P55157	Q9UHL9
Q16777	Q9UQL6
P17706	P42224
Q14802	Q16659
P17612	Q13733
P21675	Q04206
Q53ET0	Q9Y478
O15264	P12036
P98175	Q9H9G7
Q13243	Q92620
P38398	P67870
P60709	Q07817
P33992	Q9UBD5
P54259	Q92824
O14640	Q7KZI7
P12004	P43246
Q13077	Q96RJ3
P42568	Q5UIP0
P63104	Q7Z6B7
P04049	P16471
P24522	Q8WWL7
P06241	Q16620
O95715	P51677
Q16651	Q6VMQ6
P51668	Q6PCD5
O43395	Q8TBK6
O96000	P17568
P50453	Q8IWV7
P05162	Q7Z569
P30480	Q9NPD3
P30307	P51817
P38936	Q01664
P11216	P12814
P78352	Q9ULV1
Q12772	Q9UBW7
Q8IWT3	Q9ULL4
P51686	Q16627
P22681	P51451
Q01780	Q08945
P18859	P56134
P29622	Q16659
P10145	Q01085
P01589	P09919
Q07889	Q5TCZ1
P55957	Q9HC29
P11274	P16220
O95013	P38405
P15391	P42336
P78406	Q8TEM1
P22681	P29597
P16070	P18146
P43360	Q9HAV4
P01112	Q13972
P0C0S5	P25440
P04637	Q9NRM7
P11142	Q6WCQ1
O00716	P37231
P01106	Q9HAQ2
P42345	Q5VZM2
A8K6C2	P52333
P31749	Q16821
P53985	Q9Y4K3
O15287	O43542
O95391	Q9H2H8
P40429	P61254
Q8NB91	Q9HB96
