#node1	node2
P42768	P63000
P39656	Q9Y2Q3
P19838	P35579
Q13535	Q9UBE0
P62987	Q16659
P51148	Q15075
Q9NV70	Q9UPN3
P52435	Q6P1J9
P51817	Q32MK0
P52746	Q16539
P61077	Q9NZQ3
Q9NZ52	Q9Y3C5
P41970	P62993
O14788	Q9H814
P24522	Q13561
P62140	Q9UBN1
P13725	Q6UXL0
P25208	Q15633
P01730	P61073
P16220	Q9BYV9
P00519	Q05193
P05496	P18859
Q13472	Q5UIP0
P29692	P56537
P56545	Q06330
100008589	Q9Y2S0
P35916	P55075
P22392	Q14204
P41279	Q8NFZ5
P68104	Q15796
O15162	Q9Y272
P12757	Q14533
P26992	Q969D9
Q96EZ8	Q9C086
Q07890	Q15283
P17931	P20073
P10276	P55317
P23771	Q03014
O75390	P40926
P18846	P22301
O00329	P40763
O00311	P33993
P48050	Q13424
O00548	P49810
O95047	P35626
Q13573	Q8WX92
O75970	P56856
P05556	P56945
P63104	Q8WWI1
O43674	P51970
O14733	Q5S007
Q9H257	Q9HC29
P10398	Q8TD26
P08754	P51686
O95467	P29275
P62837	Q9Y4K3
O75534	P30480
O75626	Q96DX7
O75578	P06756
O94906	Q13535
Q6FI13	Q92769
Q08211	Q86V81
P33316	P62745
P19387	P19388
P08700	P08887
P05106	P08648
Q07817	Q99933
Q15834	Q5VTD9
Q13247	Q96SB4
P30085	Q9UKE5
P26368	Q7Z7J5
Q13554	Q92793
Q14CW9	Q9NRD5
Q13310	Q9NY30
P52803	P55157
P12270	Q96EE3
O60739	P42771
P42702	Q8IZI9
P05387	P32969
P99999	Q96HR8
O95967	P27658
Q9NYJ8	Q9UQL6
P15036	P27361
O14920	O43187
Q16539	Q92994
Q6ZUM4	Q92730
P46776	P61353
P13805	Q9H5H4
P09619	Q92914
P26373	P61254
P61964	Q13619
Q14814	Q92905
P05091	P10809
P62491	Q14164
Q96MG7	Q96SB8
O15533	Q03519
Q96EZ8	Q9UER7
Q16514	Q16594
P01308	P37840
P01106	P43405
P08134	P42331
P12956	P56182
Q13522	Q15173
P28482	Q9H1R3
