#node1	node2
P25685	P54652
P62888	Q92901
P55345	Q01094
P46734	Q9NZJ5
O75530	Q13642
P21860	Q99962
Q07869	Q9UBK2
P31749	Q86V81
P51668	Q6ZNA4
O95831	P20333
Q7L7L0	Q7Z2G1
O95467	Q92633
O14818	Q9Y478
Q8IWE5	Q9Y6F1
Q05048	Q10570
P35613	Q9NR12
Q13573	Q13610
Q14765	Q16539
Q07889	Q9H0H5
P05114	P16402
P48551	Q86WN2
O95967	Q9BQY4
O75937	Q14103
P60660	Q14164
O14770	P26367
Q8IY92	Q9H0U9
O60641	P32121
Q8TDZ2	Q9H0R6
P17302	P68363
O43318	Q15750
P10276	Q9Y6X2
Q08209	Q9UIK4
Q92831	Q9NR33
O14744	Q8N2W9
O15530	P08575
P22681	P40189
O94810	P18146
P02458	P05106
P58340	P62258
P14616	P27986
Q9ULV1	Q9Y6F9
O15344	Q9Y2X8
P08572	P18564
P06729	P13987
O00329	Q9H1I8
P17301	P29350
P12931	P49916
O14640	P21579
Q92561	Q96G25
P10398	Q96KB5
P10415	P63098
Q13087	Q9UET6
P18827	P21741
P23511	P25208
P01112	P06753
P05412	P20702
P00747	P01024
P19838	P80188
O43741	P36956
P17655	Q6UXS9
P48634	Q13099
P27797	Q96LZ3
Q13535	Q8WWQ0
P10451	P18564
P13667	Q14164
P00533	P12931
P14866	P52756
P17612	P63027
P12757	Q15036
O14964	Q9Y4K3
O15525	Q16621
O75116	P62136
P09919	P17947
P23458	Q8WXH5
O94762	P36954
P50591	Q12933
P11172	Q9UKI2
P03971	P36894
P27482	Q8IY92
P35222	P50402
P35222	P42166
P01106	Q68BL7
9757	O15550
P63151	Q96Q15
Q16637	Q93063
Q71UI9	Q9UBN7
P04141	P16471
O15537	P14415
P54753	P98172
P15498	P61586
Q07960	Q9HBH0
P11229	P63092
P15941	P62993
P41250	Q9HCU4
P25054	Q8NEY1
O15085	P01106
O00716	Q14186
Q9H8E8	Q9NRF9
P24530	Q03113
P08708	P62701
P16220	P62820
P49736	Q10586
P09466	Q96ID5
Q14344	Q96RI0
P26038	P78545
P03886	Q9UI09
Q9UHD2	Q9Y297
P34932	Q9UL15
O00329	P09471
O60880	P60953
P43403	Q15759
Q16254	Q5TKA1
P47992	P51681
P08887	Q8IU54
P63151	Q05513
P12004	P49459
P33991	Q15843
P00403	Q07890
O00574	P10145
P16070	Q92888
O00459	P12931
P30154	P53041
Q12988	Q9Y3C7
P28482	P30086
P25789	Q9Y4K3
P38405	Q8NGU2
P05129	Q3MJ16
Q99496	Q9BSM1
P32121	Q13362
Q2TBC4	Q9ULK5
P10914	P51532
P18564	Q14031
P11387	P63279
P56545	Q9BQ52
O75486	Q12962
P40337	P43307
Q14653	Q92844
O76021	O95819
P54253	P62258
O60341	P02708
Q9H6I2	Q9NQB0
P04278	P17661
P01106	Q13501
O60262	Q15759
P62306	Q15428
P67809	Q969S2
Q01094	Q15910
P11142	P49815
O95782	Q9Y4K3
P19438	Q96AG4
P51610	Q03164
Q14832	Q9UBI6
O60936	P42575
O75626	Q04724
Q01094	Q9UBU7
O14543	P40763
O60683	P50542
Q14197	Q9GZT3
P01876	Q9C093
O15162	O43597
Q6ZNA4	Q99816
P15391	P15498
O75674	Q15075
P51817	P59768
O76093	P08581
P19838	Q16512
P38405	Q8NGG4
P60763	Q13576
O75376	P25963
P07437	Q9Y6N7
O15527	P62306
O00231	O43242
Q9UNM6	Q9Y5K5
P39019	P62847
P49286	P50148
P32881	P42701
P16871	P31785
P45984	Q13202
P01138	Q99523
Q92974	Q99459
Q96BN2	Q9HBM6
O15527	P39880
O00303	O14602
Q16778	Q9UQL6
P22362	P51685
P22392	Q14204
P01589	Q8WYR1
P02679	Q6PD62
O60739	P13797
P04637	P52292
P48382	Q99459
P06899	Q9Y5B9
P31947	Q6WCQ1
P12004	P35251
P53675	Q9NZN4
Q8WV44	Q9H8T0
Q9BWU1	Q9NWA0
P09619	P60484
P19838	Q96ST3
P14635	Q99640
P02778	P32302
P15498	P51956
Q13619	Q9BW61
P63000	Q15080
P21554	P59768
Q13315	Q9NQS1
P07333	Q8WYR1
P25963	Q9UDV6
O43193	Q5JY77
Q6P996	Q9Y5J5
O75293	Q8WWL7
P59998	Q9UPY6
O43281	P56945
P60709	Q14686
O60739	P61254
Q9NZT1	Q9UQK1
P19838	P22612
O43504	Q9BVJ6
P46779	P83881
P32121	Q8NGL7
P01116	Q07889
P31943	Q9NYJ8
P15498	P62993
Q15047	Q9Y6K1
Q969T4	Q96PM9
Q14416	Q9P2W3
Q8WVD3	Q96PU8
O00212	Q15796
Q9NZH5	Q9UJX6
P33316	Q03181
Q13467	Q9H1J7
Q13530	Q9HAV4
P15336	P25963
P63215	P84996
P62993	Q5JNZ3
Q10570	Q9BZE0
P48552	Q92753
P14866	P22607
P46734	Q99759
P60953	Q9BRR9
407008	P62745
P62993	Q9UJT2
O76071	O94832
O60825	P63104
P07196	Q16539
P01588	Q16665
P19086	Q68DD2
Q15714	Q9P031
P24941	P62136
P05106	P55268
P14921	P23771
Q02809	Q99759
Q8N257	Q9UPS6
P60842	Q04637
Q06124	Q15116
O00327	Q99743
Q9H7E9	Q9Y605
P62136	Q13522
P53779	P62834
Q53GL0	Q93009
Q13237	Q9UN42
P67775	Q9NSI5
P01112	Q15311
O43809	Q9ULV5
Q8WY91	Q9Y3A3
P04150	P40763
O15264	P30101
O00401	O75400
P16144	P17301
406906	Q96RU8
P33991	Q08945
P13164	P20023
P52292	Q93009
P31152	Q13115
P00568	P31749
407035	Q9BZS1
P62993	Q5HYK7
P50914	P62899
P36941	Q12933
Q15326	Q15750
P15559	P25490
O94777	Q9P2X0
P06241	P42336
P05106	P19174
P24278	Q99750
Q8TDY2	Q9BXW4
407021	P27986
P48736	P61224
Q14192	Q8IZL8
Q13485	Q99717
P41182	Q9UBV4
406995	Q8WYQ5
P98095	Q12830
Q13233	Q14257
Q5QNW6	Q9C005
P17302	Q13748
Q8IWV7	Q9UBS4
Q99558	Q9NWZ3
P61587	Q96HP0
P05121	Q9NRR5
P05771	Q9NQA5
Q15038	Q9BSL1
P17301	P29400
P63010	Q06124
Q8N474	Q9GZT5
P19105	Q9P2M7
P08238	Q13464
P29350	Q8N109
P40337	Q8N4S0
O96015	Q5TD97
Q9BXW9	Q9NVI1
O14775	P42338
Q96B26	Q9NQT5
O15379	Q5VTD9
P62487	Q9NWA0
P02792	P43490
P60953	Q9UQB8
O14802	Q9Y250
P24522	Q14103
Q92793	Q9Y6K9
84451	Q02779
P25963	P29475
O43566	P18146
P63104	Q96RK0
P01111	Q8IV61
Q08AD1	Q15843
P61952	Q14832
O75971	Q92966
P61981	Q5VTL8
Q15075	Q96L93
P22607	Q99961
O75928	Q99607
O14967	Q99965
O75365	Q9Y3F4
P19388	Q9NX70
P35222	Q13547
Q13315	Q99590
P13164	P52630
Q06587	Q93009
Q86WN2	Q8IU57
P49716	Q9NR55
Q13404	Q9UBS8
P46778	P62899
P08572	P31431
Q00653	Q13748
O95989	P56182
P08069	P09471
Q53ET0	Q9UGJ0
P31751	Q53GL0
P13942	Q13683
P40337	Q3MHD2
P60709	Q9UKX2
O43174	P10276
P05230	P29317
P51884	P61812
P29972	Q6UY14
P13500	Q9NPB9
P35228	P62158
P22694	P62955
P41220	P53618
P01243	Q16186
O15514	P61218
406952	Q4LE39
O75478	P51610
P30307	Q8WZA2
P21333	Q13233
O14641	Q13618
P05023	P13693
Q9H4B7	Q9NY65
P33240	Q92499
O15379	Q9H4Z3
P49238	P63096
O00141	P01876
P19174	Q92832
O14974	Q02045
P84022	Q09472
P12236	P99999
C9JDP6	P56880
P54289	Q9UQM7
O00212	Q7Z6B7
P06733	P60709
P46781	P62266
P26358	P49841
P37837	Q14164
P38936	Q9H9Q2
O14827	P17612
P38405	P47888
O15162	P28070
Q13370	Q9Y243
P36896	Q9HCE7
O14874	P16220
O00241	Q5TFQ8
P30480	P61160
P13805	Q9H6R7
Q9UDV6	Q9UHR5
P00488	Q92890
Q99459	Q9GZZ9
P15056	Q04759
P06241	Q9Y697
P25963	Q9P2K8
O14733	O43318
O15264	P08754
P04899	Q02818
Q99750	Q9H7H0
P58876	Q96KK5
P05814	P60953
P30480	Q13263
Q13415	Q9UBD5
O14807	Q92569
O96017	Q9Y3F4
Q13315	Q96CX2
Q969H0	Q9NQR1
P08913	P50148
O75569	Q9Y3U8
Q05655	Q99759
P12757	Q14789
Q13936	Q9NPA1
P15260	Q13191
P62805	Q8NFD5
P38405	Q8WZ84
P43403	Q13191
Q13310	Q14201
O43524	Q15831
P04626	P05019
P04908	Q5QNW6
O75251	P51970
A8MTJ3	Q8TE23
P30480	Q96CX2
O15230	P08648
O15111	Q13233
P35916	P55075
P42356	Q9H7E9
P62750	P63173
P82979	Q13838
P10073	Q13315
Q13177	Q14247
P28482	Q9UNK4
Q08379	Q14134
O43187	P08138
P26715	Q06124
Q15714	Q9Y2Q3
P12270	Q96EE3
Q99459	Q9BQG0
P05771	Q14344
P11142	P61073
P33993	Q05086
O96013	Q99459
P63208	Q9UKT8
P01111	Q9UK32
P19525	Q7L2E3
P05556	P05997
Q8IY92	Q8WWY3
P47224	Q6YP21
P0CG48	Q9H467
P13942	P26012
P16220	Q13873
O14904	P41221
P29350	P30874
O00141	O95202
P12956	Q9H0R6
O15399	P22612
O95168	O95298
P35626	Q8NGN6
P01106	P05067
P01243	P29401
P14672	P61006
O60840	P22694
P31946	Q7L7X3
P62877	Q7Z6M2
P17252	Q08828
P14923	Q9NQB0
Q13243	Q15418
P59998	Q9BPX5
O43187	Q9Y3B3
P11836	Q15306
O00308	Q9BTC0
O75676	Q02930
O95865	Q16637
P25490	Q14209
O95628	P62837
P0C869	Q14344
Q7Z2G1	Q96KK5
P07910	Q9UKV8
P04899	P21462
O95467	P01106
P25786	P42898
P52198	Q8NF50
P14618	Q9UJ70
Q9HC98	Q9UBF2
P63215	Q5JWF2
P35250	Q13573
Q8IYB3	Q9UBU9
Q13177	Q8TEJ3
P46527	P62258
P52948	Q8WUM0
Q7Z434	Q9UHD2
Q14562	Q8TBK6
P61073	P78423
P54253	Q96T58
Q16625	Q8N6F1
P40937	Q9Y3C7
406953	Q8WY64
O95388	Q9NYU2
P52948	Q9BUJ2
P56880	Q8N6F1
P48169	Q9H0R8
P22681	P31946
P29353	P33151
O95167	P03886
O43318	Q9Y478
P10276	Q9BV79
P61254	P61513
P46779	P63173
O60832	Q16659
P10412	P16333
O43524	Q04917
O60656	P41235
O60331	P98164
P36896	Q5SW24
P19235	Q8WWM7
P10415	P36873
P35625	P78536
P47869	Q9NQX3
Q00013	Q15418
Q16619	Q9HC73
Q53QZ3	Q96L33
O95433	P55287
Q15633	Q9UPY3
P10074	Q92956
P35916	P61328
Q92956	Q9NYU2
P14778	P18146
P26951	P40225
O15085	Q07889
P01589	P61586
P42771	Q9H1Y0
P32969	Q8IUQ4
Q9HBE4	Q9HBE5
O75438	Q9UI09
Q13573	Q14764
P08637	Q16539
P36578	P62993
O75940	Q9BVP2
Q13485	Q9NRA8
P18124	P62750
Q13315	Q6UX07
Q14197	Q9BZE1
P17693	P43628
O95168	P51970
P16144	Q92752
