#node1	node2
P24385	P51948
O43318	O95999
B5ME19	P20042
Q15836	Q9UNK0
Q92698	Q9H7U1
P07996	P23229
Q8N6P7	Q9P0W0
O75533	Q9NZC7
O60341	P07288
Q03135	Q12778
P36873	P36897
P08559	P11177
P36888	Q06124
P12830	Q9UI95
Q13574	Q9UM73
P84101	Q9BQY4
O94906	Q13535
P11362	Q9NSA1
P12931	Q15036
P35606	Q9Y2Q3
P08887	Q9UBD9
O95886	P06241
P41236	P62136
P01889	P09960
Q92806	Q9HAV0
P16152	P56537
574501	P16298
Q96H20	Q99816
P23229	Q9HBI0
P11274	P98077
Q9H9E3	Q9Y2V7
O75478	P68431
P98160	Q14118
O60674	P01568
O43156	Q96Q15
P62195	Q9BRP4
P49790	Q9HC62
Q96HY6	Q96JB5
P18847	Q16659
P27986	P30874
A6NMZ7	Q05397
P09471	P35372
P09619	Q92529
P22694	Q09472
P52798	P54764
P56545	Q16656
Q13315	Q8N490
C9J442	Q15796
P57739	Q96B33
P38936	Q9UNN5
P04264	Q00005
O60563	P28799
P27708	Q00005
P20827	P35916
P58753	Q29RF7
P62805	Q09028
P48023	Q13158
P04406	P54253
P68104	Q14761
P78527	Q12905
O00231	Q15047
P17275	Q16520
P51828	Q5JWF2
Q01780	Q96IU4
P28324	P28482
P43405	P62993
P20020	Q13237
P49792	P63279
Q01094	Q8NEM0
Q13427	Q15287
P50395	Q9Y4K3
O15198	Q86UK5
Q13535	Q92841
Q53TQ3	Q9Y265
407053	P34925
P23229	Q9UKX5
O60516	P06730
P18847	P45983
Q15645	Q9BXL6
406938	P80075
P51817	Q9UK08
Q14247	Q9BPX5
P62249	P63220
P0CG48	P46934
P58876	Q9C005
Q13098	Q9UBW8
P51149	Q13748
P43146	Q9GZV4
P22612	Q96D31
Q14315	Q9Y4P8
Q14168	Q99459
P49407	P51684
O75822	P78344
Q969S8	Q9P0M6
O43524	P29474
O14786	O95025
P35222	P98177
Q7L590	Q9UBD5
P18146	Q96IM9
P01106	P55884
O14744	Q9H9G7
P80188	Q04206
P68402	Q15102
P16220	Q9NQV8
P68036	Q13490
P10301	Q86YV0
P62753	Q00005
Q13115	Q13164
O15528	Q99836
O15504	Q96EE3
P42336	Q9HC35
O15105	O15198
P01308	P21802
P01106	Q13105
P12931	Q13017
O75822	Q14152
Q6ZUM4	Q96L33
O14745	P41145
Q08209	Q14934
P98175	Q92733
P49959	Q99708
P35580	P40424
P36873	P54840
P17174	Q9BXJ8
P15884	P62158
P09919	Q9HC73
P13569	P29992
P38936	Q5VTD9
P06748	Q07955
O14654	P46108
P01009	P51124
P01857	P49221
P62308	Q9P2H0
P42858	Q9BY11
P02768	P04183
O14974	Q01449
P06850	P34998
P06493	Q6PGQ7
O15264	P05412
P52435	Q6P1J9
P30153	Q15759
O14920	Q01201
P49716	Q13370
P11802	Q16254
P13232	P19235
O43323	Q9Y6C5
O95644	P17612
P49716	Q9Y5Q3
A1KXE4	Q9UGN5
P61081	Q13617
P63146	Q8IWV7
P15018	Q13261
O75343	Q02108
P00533	P49023
P63104	Q99683
P18846	P61073
P05198	P20042
P46527	Q92574
P28221	P63096
P61981	Q7L576
P27348	P84103
P03372	P19838
Q13936	Q969Q6
O15264	P62263
P16871	Q9GZX6
O60674	Q9HBE5
O15144	Q92747
Q86Y13	Q969T4
P16220	Q04743
Q12905	Q13416
P52597	P63104
Q13469	Q13554
P21580	Q15628
P02458	P05556
Q92900	Q9UL03
P11940	Q96QB1
P05109	P06702
P14616	P42336
O75643	P40337
O43157	Q92730
P04350	P51149
Q08116	Q9BVJ6
P63279	Q06609
P35462	Q9UK08
P05026	P48736
P0C0S5	Q9Y4A5
Q13255	Q14344
P18031	Q16620
Q14469	Q9UBN7
P16118	P22694
P61981	Q99759
Q96RJ3	Q9Y275
Q8TEM1	Q9UKX7
Q9BWD1	Q9Y4K3
O14508	Q99062
O95400	P61978
Q9UHR5	Q9UK32
P29460	P78552
P07237	Q9H3N1
P27694	Q15560
P07900	Q9NYJ8
P06703	Q9HB71
P01106	Q9H0J9
Q14493	Q8IV48
P78364	Q9HAT8
P61586	Q07960
P06899	Q16514
P19438	Q16836
P42680	Q92729
Q7Z4H7	Q96CS2
O60566	Q13573
P04141	P14784
Q96HA8	Q99708
O60674	P41597
Q92993	Q96RU7
Q13522	Q96LZ3
P63000	Q96F07
Q02790	Q9NR46
P04156	P11047
P16157	Q13009
P56706	Q5T4F7
Q13444	Q9BX66
O14920	Q9NWZ3
P20827	P54764
P15923	Q13309
407050	Q01094
O95400	Q14558
Q9NZJ4	Q9P1U0
Q13255	Q9NSB8
406988	P15692
O75751	Q9UJU5
P12931	P31994
P19793	Q9H0E9
P27986	Q9H9Y6
Q15287	Q16637
P35240	Q13177
P17028	Q6R327
P08514	P35442
P36578	P46776
P07093	Q14031
P57739	Q8N6F1
O14818	P28066
Q93079	Q9C005
P49286	P63211
P01583	Q9NWZ3
P22694	Q8TD86
P17542	Q14839
P31943	Q13242
P84022	Q9HDC5
O14508	P31785
P01563	Q9HBE5
P01574	P16871
O15085	Q92730
P10767	P35916
P19429	Q9Y2T4
Q99963	Q9C0J8
Q14209	Q9H211
P17509	P21673
Q92993	Q9BQD7
Q15915	Q92858
P49407	Q13428
Q7L5N1	Q92905
P00338	P27540
P08133	P16104
O75116	P35579
P11532	Q9NRI5
O95402	Q9NX70
P08684	P41235
O75116	Q8TBX8
P17655	P30419
P17252	Q12879
P01106	P52306
P18146	Q13163
P23246	Q9UHD2
Q9UBS5	Q9UBU3
Q16254	Q99708
P45983	Q13873
P28482	Q9NRA0
O00327	P49674
P08648	P16144
P49418	Q8WYR1
O95644	P16298
P53680	Q07889
P35626	Q8NGN2
P05556	P17612
O75197	P56705
Q14145	Q9H492
P08581	P16885
P63000	Q16584
O00217	O95139
P63010	Q2TAY7
Q13464	Q15796
P42695	Q13535
P17948	Q00722
Q16637	Q9UHI6
P35609	P62736
O43683	Q9Y6B7
O43557	Q13490
O95685	Q9Y243
O14640	Q99466
P0C0S5	Q96DB2
Q13094	Q9UKW4
O75030	P56645
O43251	Q86U06
P05141	Q14197
Q8TEW0	Q9NSI5
P63104	Q02241
Q04721	Q15797
P23458	P42229
P39060	P55001
P15311	P16070
Q9HAW0	Q9UDX5
O15105	O15169
P47869	Q9NQX3
Q15788	Q9Y2J2
O43678	O95168
Q13797	Q16787
Q13191	Q8IU57
Q05397	Q15654
Q08170	Q9BUJ2
P14921	Q6SJ96
Q8WXF7	Q9NQC3
P51681	Q14761
P06729	P19256
Q96JB3	Q99459
O14640	Q9UM47
O15047	Q9C005
P04156	P08047
O00168	P54710
P43699	Q13569
Q14565	Q9Y620
P07333	Q9GZP0
P20749	Q00653
O75716	P67870
Q00722	Q9UP38
Q13535	Q92793
P61289	Q7Z3B3
406881	Q15717
P17252	Q13526
P62258	Q00994
O95983	Q8N5A5
P00488	P04183
406948	P10242
O14936	Q9P202
P28482	Q9UN42
P02741	P24071
Q01780	Q9H7Z7
Q14164	Q92922
Q13485	Q15583
O14576	P04637
P56545	Q9Y5P3
P05413	P53350
P32121	P53779
Q9UI14	Q9UL26
P01100	P16220
P42766	P62829
P63151	Q9GZV5
O14503	P27540
P54253	Q92609
P0CG13	Q13541
P38405	Q8NGQ4
P14784	Q8WXH5
P28482	P46695
O00231	Q9H7U1
O75056	Q13885
P25054	Q9BZK7
P16520	P48039
O75937	P84103
P14618	Q92597
Q14676	Q9NX02
O60934	P63165
P07333	Q02548
P49916	Q13315
P29083	Q7KZF4
P07101	P61981
P18124	P61254
P42262	Q13555
P11940	P62324
P01106	Q8N4C6
P67870	Q8NDZ2
Q13315	Q8TAQ5
P23511	P60709
