#node1	node2
P54840	Q9H7J1
P18146	Q9Y2D8
O76003	Q9BQ66
P16455	P22314
Q15382	Q8N122
O43739	Q9P1Z2
P16220	Q96RG2
O60383	Q14807
P11234	Q3MIN7
Q6PEY2	Q92974
P62195	Q8TCT6
Q02224	Q14683
P08107	P49815
P18084	Q9Y4G6
O60262	Q92806
Q92833	Q9H9B1
A6NHL2	Q9BVA1
Q15185	Q9UET6
P05026	P22694
O14904	Q14332
Q15714	Q8IWA4
P16066	Q5JWF2
P38159	Q08211
O94921	P30281
Q14197	Q9H2W6
P09601	Q16236
Q15672	Q9UBK2
O14775	Q13936
P61086	Q8N2W9
P51817	Q9UNY4
O15264	O75676
P01303	Q12884
P09619	P35568
P09012	Q15287
P03897	P03905
P63279	Q01826
P63104	Q7Z401
P17693	P26715
O00574	P35626
Q14197	Q9UJZ1
P17612	P19429
P47813	Q13347
Q9UNF1	Q9Y2Q3
O95500	O95832
O15550	Q8NEZ4
P16234	Q00722
O95832	Q96B33
P01112	P15056
P01236	Q13177
Q8IY92	Q9C0C9
Q14444	Q96BK5
O00221	O75170
P30281	Q9H063
P01023	Q92890
O95819	P26373
O14965	Q9NQS7
P05129	Q8TAA9
Q15672	Q96HZ4
P10912	Q9UHD0
O95622	P63215
P04406	Q99759
P01579	Q14627
P27986	Q14790
P09874	Q02539
P08069	Q9HCT0
P61073	Q16656
Q8N5C8	Q9Y6K9
P60763	Q9UIW2
407026	P08123
P36873	Q96A00
A2RRP1	O95897
P20594	Q09472
P29372	P52907
Q13188	Q96NE9
P42701	Q14765
P25024	Q07325
B5ME19	P20042
P29459	Q8IU57
P84022	Q93009
O00505	P09429
P62829	P83731
P41970	Q02363
Q15428	Q8N163
P38646	Q9UKV8
P28482	Q14192
P30481	P61769
P23229	Q17RW2
P20336	Q86UR5
Q13404	Q99496
P01241	Q96DZ1
P14625	P38646
Q6IB77	Q96AW1
P01588	Q99062
P10276	Q16236
P07900	P15172
O00257	Q13426
P42166	Q9NX70
P08754	P49019
P39023	Q92597
P35221	P63104
P09429	P10599
Q99755	Q9ULU8
P21333	Q9H9G7
P22694	Q9H1R3
P00403	P52735
P23458	P38484
P30305	P62258
Q05086	Q6PJ69
O14561	Q86Y39
P14618	Q9Y6X8
P25787	Q9Y5K5
P54257	Q08752
P26599	P51991
O14862	O75626
O95007	P38405
Q13936	Q9UQM7
O15264	P31749
Q96PU5	Q9Y4G8
O75717	P35222
P22694	Q09472
Q00722	Q9BYG5
P30559	P50148
P01106	P27987
P03901	Q9NX14
O14602	O15372
O00422	Q86Y56
P62258	Q9UQL6
P11229	Q9UBI6
Q13111	Q13315
P14784	Q15464
P10644	P82279
P17948	Q16665
Q5QNW6	Q9BY41
P54756	Q8N5V2
Q09472	Q70SY1
P0CG47	P60900
P29692	P30480
P35575	P41235
P62807	Q6FI13
P17612	Q92934
P30050	P84098
Q13352	Q8TC92
P62760	Q5VTD9
Q13347	Q92956
P08581	P49763
P47914	P50914
O00329	P00533
O43914	Q9NZC2
P13725	Q9HC73
Q8TBB1	Q9BQ66
P13232	Q9HBE5
Q5FWF5	Q9UQE7
P43034	Q15046
Q96B96	Q9UGN5
Q9GZM8	Q9NRI5
A6NMS3	P38405
P01106	Q6STE5
P01857	P08779
O43294	Q05397
P00540	P08238
Q14344	Q68DD2
P19012	Q6ZU52
Q13113	Q7L5N1
P00747	P63261
P33991	Q08945
P36894	P43026
P01127	P10721
P32121	P60953
P34969	P61952
P01241	P61326
O95471	P78369
P20671	Q8N257
Q16659	Q9UQ07
O75581	Q2MKA7
P50052	P50148
P02776	P49238
Q14141	Q6PKG0
P45985	Q9UPT6
O00182	Q14624
P05000	P48357
P0CG48	Q13155
Q13185	Q9H081
P02768	P49619
P27348	Q7Z401
Q13315	Q96SD1
Q14CM0	Q9NRP7
Q92830	Q9UBG7
O96000	Q9Y6M9
P05556	P35443
Q13287	Q14765
Q96EZ8	Q9Y3C0
P23025	Q13535
P11362	P46108
P40238	Q9NYY1
Q13315	Q13362
P01589	Q8IZJ0
P08631	Q9UQC2
P06241	Q9P1A6
Q76I76	Q9Y281
Q9BVP2	Q9Y5J5
Q9Y4K3	Q9Y6K9
O14757	Q9NW38
Q04695	Q13191
P36578	P62945
Q86U06	Q9Y3C7
P13569	P13987
Q02156	Q96HC4
