#node1	node2
Q16630	Q9NYG5
P25786	P60520
P41235	Q16594
A6NHL2	Q9BVA1
P61513	Q9UKV8
Q99962	Q9ULV8
P01106	Q9H9P8
O43768	P25205
406984	Q9UPY6
O15123	P38936
O75369	Q13554
O14639	Q08379
Q92796	Q9NSB4
Q04864	Q96EB6
Q9Y4K3	Q9Y6X2
Q03135	Q13393
P51654	Q93097
P51684	Q9UBD3
O14964	P46934
P22694	P48058
P57059	P63104
P18084	Q13352
O14920	P04792
O43251	Q07666
P32121	Q8NGL1
Q8N1F8	Q8NHQ1
O00591	Q9H0R8
P29590	P46100
O00198	Q07021
P16471	Q9UBD9
Q969G6	Q9UBS3
O95298	Q86Y39
P11831	Q14192
P61088	Q12986
O00555	P63096
P31483	P99999
407007	P63151
P01241	Q7L2H7
P35575	Q12778
Q13315	Q8TF01
Q8TES7	Q9NWT6
P46379	Q15047
P42338	Q07889
P02794	Q9H0E2
Q969D9	Q99062
P17275	P53779
P04626	Q14451
O43908	P30466
O95178	Q9P0J0
Q04771	Q96D21
P31949	P40337
P01889	P58546
O75084	Q9NRR5
O95997	Q12834
P04818	Q12906
Q13315	Q99959
P20823	Q9UBV2
P20339	Q9UKG1
Q16526	Q9Y478
Q13045	Q96CM4
P04626	P49765
O43586	P62899
Q92597	Q9Y230
P10644	Q9H4A3
O76061	Q12972
P51825	Q9UHB7
P09619	P62993
O43597	P53384
Q13077	Q15628
Q14677	Q99459
O75478	Q9NRF9
O94806	P05129
P20226	P20265
P00505	P29372
P09958	Q16665
O75676	Q68CJ9
Q13315	Q96GM5
P18077	P61254
P32298	P51685
O00217	P51970
Q9UKB1	Q9UKT4
P22612	P54284
Q7Z5H3	Q9H4E5
P26012	P49023
P63000	Q99683
P13637	Q6P1N9
Q96BI3	Q9Y219
O00291	P09496
P22612	P49841
O75400	O75478
P01106	Q9UQ13
P08151	P24941
P62807	Q16777
O00267	Q12789
P18206	P98179
Q14289	Q9Y6R4
P20585	P23025
Q13616	Q8IYD8
O75326	P55157
O60610	Q15109
Q00005	Q14525
P53350	Q6UXH1
P18848	P62140
O75478	Q01658
Q04637	Q14CS0
P12956	Q8N2W9
P05388	P46779
P18146	P43026
O00329	Q9P2W3
P30679	P43088
Q8NFD5	Q9UJX2
P15498	P51956
O60262	P49286
Q01094	Q9Y2T1
P31645	Q9NRD5
P46781	P62266
P10828	Q92769
P11171	P63261
P49716	Q6PKC3
P17612	P46019
P05771	Q16236
P45983	Q8NER1
P58401	Q9GZR7
P48436	P62158
