#node1	node2
P11171	P26640
P07948	P14859
P05771	Q13164
406921	A7KAX9
P38484	P60568
O43542	Q92698
P42224	Q6UWB1
P51684	Q9Y4X3
P06899	P56524
P05997	P16144
P04179	Q9UKE5
P05014	Q01344
P19174	P27816
P35030	Q8TEW0
P04183	Q9NYF0
P12034	Q07889
P14778	Q12933
P62888	P83731
P60228	P62330
P12319	P30273
Q6FI13	Q92769
P02768	P08779
P51610	P68431
O60733	P05129
P28482	P53816
P07437	Q12933
O15105	P15172
P05019	P24592
P63104	Q12912
407018	Q01196
O75694	P49790
P36873	Q9NZJ5
P16234	P42336
Q07812	Q9HD36
P04899	P25929
P08514	Q9NVD7
Q9BY27	Q9NS73
P40337	Q9Y4L1
P51532	Q8NFD5
P01857	P15502
407026	Q01453
P08575	P27361
Q15788	Q92830
P11474	P48552
O75052	Q16849
P62330	Q9Y312
P60709	Q04759
Q03001	Q9UKE5
P38405	Q8NGB8
O60266	P38405
P07333	Q01970
P35606	Q9Y2Q3
Q93074	Q9NPJ6
P00533	Q99961
O14775	P30939
P23508	P55786
O00743	Q9UPN7
P08134	Q9H7D0
P62241	Q07021
Q9UJX3	Q9UNH5
Q13315	Q8IVD9
Q9NRR5	Q9UBU9
P27694	Q9NS91
P06239	P10966
P05387	P36578
P13500	Q99616
P61020	Q9H223
406991	Q13126
O60391	P41594
P42229	Q13469
P28749	Q16576
P16104	Q16695
Q16891	Q9NRI5
P14866	Q13151
Q9H173	Q9Y678
O43463	Q08999
O75940	Q14684
O14939	Q05655
Q7Z6G3	Q9NP79
P34969	P63215
P35626	Q8NGF0
P05015	P16471
P15153	P42684
Q13535	Q9NPJ6
O75970	Q9BX67
P62877	Q13387
P03372	Q9Y3R0
O14640	Q969G9
P18146	Q13127
Q05516	Q9Y6X2
P35557	Q13233
O15520	Q14512
Q8TBZ2	Q9BWU1
O15123	P67870
Q14155	Q9P286
Q15424	Q8WXA9
P30556	P32121
P52597	Q14683
P27824	P78504
P16220	Q969X5
Q08211	Q9Y4K3
Q99459	Q9H3U1
P62993	Q16620
P53803	P62487
O75159	P40763
P18848	Q9NRI5
P01111	Q04864
P62837	Q96DX4
P20073	P26373
O75971	P46736
P18124	P50914
P35998	Q99459
P52630	Q7Z2W4
P16871	Q14289
P13725	P15260
P18545	P19087
P51843	P61201
P47224	Q9BVJ6
P45983	Q9Y2U5
Q8NEB9	Q9GZQ8
P61224	Q9BZL6
O75030	P56693
P59046	Q9Y2Z0
P54253	Q8N1L9
Q13263	Q9H4L7
P62277	P62847
P42338	Q13393
P19438	Q99558
O14763	Q12933
O00458	P19525
O75815	P62750
O00141	P56696
P19012	Q8N6Y0
P33240	Q9HBU1
P56537	Q8IZT6
P41595	Q13698
P58012	Q16548
P49023	P60709
O43290	O75554
P08581	P09038
P25963	P31749
P00533	Q2TAY7
Q9C086	Q9Y230
Q9HAP6	Q9UQB8
P62995	Q9Y6Y0
O00459	Q92569
P11487	P35916
O14775	P47898
P11229	Q8WYR1
O15264	P09874
P19838	Q9Y239
Q00005	Q9UBN1
Q8TBN0	Q96QF0
P19793	Q13352
P51817	Q08462
P46108	Q13480
P52799	P54762
P20248	P23511
Q13315	Q8IU60
P78396	Q96AG4
P22314	Q13275
Q14686	Q9UBL3
P52209	Q9Y478
P26641	P55316
Q03164	Q13363
O43242	P55036
P60510	Q6IN85
Q8WXS5	Q9UQM7
P54619	Q16877
P21333	P68032
P24723	Q16625
P05014	Q969J5
Q96JB5	Q9Y3U8
Q13033	Q9Y6E0
P24522	P68104
O95402	P62875
P62258	Q9BYG4
P35222	Q16665
Q13765	Q5UIP0
P27708	Q6R327
Q5UIP0	Q9Y2M5
P55072	Q14164
P05114	P16401
O00329	P21802
P26641	Q96SN8
P40238	Q9P0W0
P43351	Q14191
O95371	P35626
O00487	O43242
P62070	Q15052
P62993	Q5HYK7
P02792	P24522
