#node1	node2
O60840	Q9Y2T4
Q13105	Q92547
P19838	Q15306
P57059	Q9P0L0
Q16659	Q8WX92
Q96BZ8	Q9UJ70
O14965	P68036
P42680	Q07021
P05129	P22612
P16333	Q9UMN6
P61244	Q9Y6D9
P62136	Q9NP77
P14921	P51692
P30405	P51681
P11161	P56693
P30154	Q13522
P39019	P62701
P30049	P36542
P01106	Q7Z4Q2
P54259	Q93062
Q9NWA0	Q9Y3C7
P04899	Q13255
P05106	P07947
P16885	Q13191
P19525	Q16236
P08151	P35222
P08754	P63218
P61353	P62917
Q13573	Q9UFC0
O14638	P62993
P49716	Q9Y696
P21781	P21802
O14640	P09471
P14859	P40424
P39019	Q96BK5
P51965	Q92560
P63218	Q01970
P46937	P62140
P53355	Q15796
P20138	Q13191
Q01094	Q99683
O75084	Q92997
O60512	Q9NXU5
P51665	P61289
O43237	P51149
Q9NQ66	Q9UK08
O95299	P03905
O14544	Q14626
P62380	Q15126
P22612	Q9UNY4
P10275	Q15788
Q06124	Q9UQC2
Q12933	Q13137
O60262	P51817
P39023	P83881
P07900	Q9H093
O75159	P40189
Q13315	Q9ULL1
P12830	Q92747
P04626	Q92625
Q9H0E9	Q9H2F5
O15264	Q9NYJ8
P43360	Q92616
O60739	P49720
P06400	P33993
P01137	P34741
P18074	P43351
Q13415	Q9Y5N6
O14672	P25025
P13612	P26006
O95786	Q9ULZ3
P18206	P60673
Q09472	Q13315
P60709	P60763
P24071	Q8IYS5
P01241	P61326
P04637	P29317
P02768	Q8IY92
P49842	P78395
P19438	P55957
P31751	Q96B36
P63279	Q13422
O15400	Q9UEU0
P35626	Q8NGM9
P35998	P62987
P52735	Q8WV28
O60359	P30559
O95573	Q92597
P32243	P54253
P36507	P41279
Q15637	Q96I25
P21926	Q14005
Q93079	Q9UBL3
P08138	P63000
P21860	P35222
O43187	Q6DN90
O95166	Q32NB8
P18146	P49336
P17081	Q9UPT5
O43677	Q16795
Q13620	Q15291
P50479	Q15654
P13671	P16333
P51681	Q9NPD3
P55055	Q92828
P12931	P49023
P10244	Q9UJX2
P23458	P40238
Q8N3U4	Q9UJ98
P45983	P46734
P35222	Q05209
P25098	P51677
P53680	P58107
P16104	Q14191
P13010	Q00653
O00459	Q05397
P61326	Q15287
P26583	Q99684
O60674	Q14527
P36542	Q9UKV8
P01589	P32881
P49366	P62330
P08648	Q07889
O60220	Q92783
O15551	P18146
P21359	P63165
406913	P31269
P31350	Q99816
P08588	Q96D09
P53355	Q92859
P17612	Q8TCU5
Q04637	Q9BZI7
P62837	Q9UPQ4
O15105	Q09472
P09429	Q9NR96
P84095	Q92556
Q86VP1	Q9Y3C5
O15069	P13805
Q14686	Q96S59
Q05513	Q8TEW0
O15400	Q9P253
P01889	P53007
P39656	P56537
P25942	P42224
O95622	Q9P2W3
P01116	P42336
Q09028	Q12830
O75674	Q92575
Q01081	Q9UBU9
O15379	Q99880
P55199	Q8IXJ6
P42830	P51681
P0CG48	Q15843
P54257	Q08170
O14641	Q9Y2T1
P54619	Q96RR4
P41597	P51681
P04201	Q13424
P35968	P49767
O00305	Q14738
P59998	Q07889
P17540	Q5T3J3
Q15596	Q92830
P12980	Q9H7Z6
Q9Y2X8	Q9Y4L5
P62158	Q9UM54
Q9BUJ2	Q9UL18
P51685	Q07325
P04899	P25025
P60709	P62269
O43927	P51685
P55157	Q86UR5
P22314	Q9BXL5
P51671	P60174
P02786	P23508
Q13490	Q8IUD2
A8K6C2	P19235
Q8N448	Q9NPD8
P62750	Q9NX58
Q13191	Q99665
P68431	Q9Y232
Q09013	Q9NRR5
O43157	P63000
Q14232	Q9NR50
P20701	Q9Y4G6
P31749	Q16584
P18846	Q53ET0
O14625	P46094
O60315	P01106
P08581	Q9HAU4
Q9BZR9	Q9Y2X8
Q00839	Q08211
P01571	P31785
O15031	P15153
Q8NB91	Q9NVI1
Q96Q83	Q9UBU8
O95750	P07333
P01106	Q8IVH2
O95405	P36897
P30480	P46108
P61088	Q9UKV5
Q13573	Q9NUU7
P49368	Q9NT62
P04637	P17643
406961	P52926
Q16658	Q9UET6
P31947	Q9Y4H2
P18621	Q9Y3U8
Q13315	Q562F6
Q15672	Q9UBK2
P26441	P48551
P04637	Q96Q83
P18621	P62424
P62273	P62841
O00459	P59768
P08581	P09603
O96008	P00441
Q9NSI5	Q9Y624
P35626	Q8NH00
O14907	P23511
P00519	Q96NS5
P17480	P68133
P30480	Q14566
