#node1	node2
P04637	P48643
Q5JPE7	Q9NRR5
O75478	Q9Y6J9
P14859	P51948
P02778	P49238
P21802	Q9H201
P54578	Q08209
P08238	Q9NR45
P25098	P32302
O14964	P12814
P02675	Q14451
Q14790	Q15078
P29992	P30989
P01567	P16471
Q15906	Q9Y230
P01241	Q99062
Q8WVM8	Q96JB2
O00221	P08107
O15198	Q6PGP7
P23458	P42226
P12814	P43364
Q04724	Q04725
P43146	P46779
P33778	Q16777
P26368	Q9P2G9
P08238	P63261
Q15628	Q9UHD2
Q14103	Q15366
Q15370	Q16665
O14964	O60784
P31785	P42338
O96000	P56556
P04792	Q8IW41
P13569	P22612
P18084	Q12929
O15105	P05121
Q13573	Q16629
P17931	P25445
O94856	P00519
Q07666	Q14011
O43809	Q9P2H0
O60359	Q06190
P06241	Q9H9L3
Q14164	Q9UQ80
P49137	P49815
P62834	Q9Y4G8
Q06830	Q14653
P22681	Q92569
Q13200	Q9HC98
O00267	O43148
Q96B97	Q99961
A0JLT2	Q9UJX6
P62993	Q07890
P12931	P22681
O75340	Q96B97
Q9Y5J9	Q9Y5L4
P15144	P18054
O43918	P46108
O60674	P13725
P24394	P40933
P08758	P26358
P47871	P63092
P20701	Q9Y624
P00519	P35326
P22681	P52735
P33993	Q9NY93
P01241	P61289
574493	P15692
P04839	P17947
Q8IZ13	Q9ULV5
A6NKT7	P55854
O15117	Q9H2G2
P02751	P17931
P16234	P46109
P35626	Q8NGP0
P48551	Q92793
O75144	P10747
P15498	Q12866
P45983	P68133
O15144	Q9BY76
P45984	Q8WZA2
O95782	P62316
P49321	Q13535
P00813	P16220
P22607	Q96LX7
P35462	P61952
P10721	Q9Y4K3
P63261	Q9Y6W5
O43677	P56556
P63279	Q99497
Q99689	Q9Y6M9
P61587	Q9P286
P84022	Q9UEE9
P42575	P78560
P08648	P60709
P13637	Q9NSB8
O95622	P16520
P15498	Q8IZP0
P06213	P35568
O00221	P34931
P28482	Q9HBH9
P05121	P07204
O94806	Q86YW0
P54253	Q9Y2K5
P20073	Q9Y600
64397	P25054
O75044	P17081
Q9NQR9	Q9UGJ0
P23497	Q02556
P62979	Q04771
Q9H1Y0	Q9P258
Q96DF8	Q9BWF3
O14965	Q13522
P13807	P68400
P62750	Q6R327
P49286	Q9UK08
Q13573	Q15427
P42226	P52630
P41597	Q99616
O60936	Q96T60
P01137	P07942
P30405	P51681
P09467	P12814
P58753	Q9Y2C9
P30519	Q09028
O00548	Q9UM47
Q04637	Q71F23
P03897	Q9P0J0
O75448	Q15797
P50151	Q8WYR1
P16220	Q9UM01
P06732	Q9P2G9
O00151	P14136
P32121	Q7Z3T1
O94992	Q8TAX7
Q8N163	Q99759
P61978	Q15428
P17676	Q06546
Q01780	Q96CU9
P01130	P30101
P05113	P16471
O43586	P39023
P38646	Q9H9G7
P08069	P48357
P20929	Q9Y6J8
O00154	P54253
Q00169	Q15014
O60353	Q96HF1
Q15843	Q9Y5V3
P01567	P14784
P00325	P62258
P63096	Q01970
Q9NPD3	Q9Y3B2
P27540	P29590
P61201	Q02556
P27361	Q16539
Q16637	Q5JVS0
P63104	Q14152
O00629	P12956
Q13077	Q13490
P61978	Q01094
Q92692	Q96NY8
P04637	Q16594
P21333	Q07157
P47901	Q03113
P46092	P48634
P78552	Q9GZX6
P08567	P26038
P28066	P55036
O95793	P05388
P09919	P48551
O75116	Q96C90
P17181	P23458
P20073	Q6UXF1
P0CG48	P54725
P54253	P62760
O15239	O95178
P06239	Q05209
Q15369	Q96G25
P21462	P84996
Q13243	Q16629
A1A4S6	Q8IXI1
P62140	Q70SY1
P51114	Q9UKV8
P60510	Q5MIZ7
Q5FBB7	Q8NDV3
A7KAX9	P06241
P46782	P62269
P09471	P28482
P09936	P46527
P43360	Q8N163
P59998	Q92747
P01111	P08069
P48546	P63092
P49736	Q08945
O00206	Q8N1F8
O75525	P26368
Q00610	Q14919
Q8IVF5	Q9HBH0
P15407	P53779
P14678	Q6P2Q9
Q8TD31	Q8TEY7
Q9UBU8	Q9Y605
P84095	Q96BY6
P06241	P20827
P14866	Q9NRG4
Q8TAP4	Q9NS73
P29460	P42701
O43251	Q9BQY4
P51991	Q01130
Q16891	Q8NCD3
P63151	Q01668
P10415	P22736
P05107	P43405
P63096	Q92569
P68431	Q9UGL1
O14576	P63172
P05113	P48551
P08107	Q01201
Q15691	Q99661
P38159	Q07955
P01106	Q07021
Q00005	Q8WVK7
P28482	Q15349
O60269	Q15645
P31947	Q6P1L5
O75478	Q16531
Q13153	Q15172
Q13315	Q71F56
P51587	P55157
O95639	Q6UXN9
P01111	P20936
Q8IZP0	Q96F07
P42336	P43403
Q96P09	Q9NR28
P35626	Q8NH37
Q04637	Q15029
P01210	Q04206
Q8WYA6	Q9NQ29
O15021	Q13315
P21333	P49407
P62837	Q86UW7
P58107	Q96BK5
Q13362	Q8IZS8
Q13573	Q92785
P23467	P46459
P38405	Q9GZK7
P51693	Q13526
P52565	P60953
P06737	P62158
O43524	P27348
Q12929	Q9BYC9
P48443	Q96HR3
P0C0S8	P23527
P11387	Q9UQ80
P67775	Q13698
P62714	Q6P5X5
Q04724	Q15714
P11940	Q9BWF3
P19525	Q7L2E3
P06213	P19174
P05107	Q9Y624
P01106	P49591
O43677	O96000
P05107	Q15139
O15344	P68036
O14730	P43360
O43707	P63104
P19338	Q13464
P78352	Q8TCU5
O00422	Q4LE39
P26641	Q9NPF8
P20700	P42166
P23258	Q53EZ4
P01584	P20226
O15239	P17568
P12956	Q00610
P01112	Q16539
P42262	P42263
P83916	Q13263
O00170	P08238
P52434	P52435
P56134	Q9Y478
P46379	Q9UBS4
Q13485	Q96PU4
O00144	P35222
P54284	P67775
P51571	Q92956
Q14674	Q9NZH5
P05106	P50552
P08670	Q9H9J2
O75381	Q9UKY1
Q8N257	Q96KK5
P46782	P62249
O14639	Q12933
P12644	Q8TEU8
P63104	Q9Y6K9
P56704	Q9Y5W5
P19793	Q96F24
O95831	Q15773
P24666	Q14164
Q01344	Q16619
P07996	P53708
P28702	P48552
O75083	Q15477
Q99558	Q9UNE7
Q8WW43	Q9UM47
O14905	Q13467
P62750	P62917
P53350	Q9HAW4
P30405	Q02156
P63151	Q15170
O00238	Q13145
Q8N122	Q9UBS0
P24666	P43403
P18146	Q9NZN8
P54727	Q96IV0
P78317	Q9UHF7
O15444	P51681
Q14197	Q9Y2R9
Q7L590	Q9Y2I6
Q02156	Q4KWH8
P04899	P35498
O14964	Q9NZ52
Q13164	Q16665
P62807	Q9UBN7
P47914	P62888
P41279	Q9Y243
P30457	P51571
Q8IYT8	Q8TDY2
O43294	P62942
P98095	Q14031
P42336	Q9HAV0
P23527	Q16777
P60709	Q9ULG1
P56645	Q13616
P16104	Q13315
P31947	Q12778
Q15599	Q9BXI6
P05186	Q04206
P35626	Q6IF99
P19235	Q13191
P46379	P52757
O95639	Q6UN15
P20231	Q15661
P35590	Q12913
P83731	Q9UNX3
P17844	Q9Y5J5
O94826	P07900
