#node1	node2
P20042	P55884
O14904	Q9ULV1
P05771	P14598
P01106	P63208
407054	O75896
P49716	P56524
P31947	P46527
P17612	Q12791
P56278	Q01844
O43809	Q9UJW3
P05556	P12931
P51617	Q99836
O00443	P04626
P17181	P40933
O60260	Q9Y6H5
P15311	Q9UFF9
406988	P37275
O00257	P12757
P42684	P63000
Q15628	Q9NPH3
Q12962	Q9HBM6
P46940	Q9UBN6
P01569	P42701
P00533	P01308
P12931	Q13094
P62899	P83731
Q13492	Q13573
P51692	Q92793
O00193	P26641
P30480	P62263
Q8WXI9	Q9H334
P25445	P42224
P27694	P49450
Q14204	Q9Y5J5
P15498	P78314
P52756	Q13242
Q99835	Q9NRP7
P62714	Q16537
P62917	Q9Y3U8
P50150	Q8TCU6
P68104	Q5VVJ2
P51617	Q03135
P20073	P47897
P20333	Q9UHD2
O00329	P15391
P12277	Q96DX5
P16402	Q86U86
P16104	P62937
O00220	Q14790
P06493	Q12778
Q15435	Q9UQK1
P52701	P55036
O43913	P42771
P33240	Q13315
Q05519	Q14103
Q13253	Q7Z5Y6
P11172	P36957
P46783	Q9NX58
P01106	Q9UIJ7
O43318	P63261
O00716	P23921
Q6P2C8	Q9NX70
Q14CB8	Q7L0Q8
Q14296	Q93062
O00499	P62834
Q14103	Q9UKA9
O15524	P29597
P01106	P42771
P61964	Q9Y4K3
Q5VWK5	Q9UHD0
P31994	Q8IYS5
Q96EZ8	Q9Y230
P78369	Q96AP7
P62195	Q06323
P08572	Q16637
P17812	Q9Y4K3
Q16778	Q9NPI1
O60232	P15924
Q01844	Q14289
P49810	P62491
P46199	P67870
O60383	Q9UN74
P46776	P50914
Q9HC36	Q9UHX1
Q96DF8	Q96N46
P19235	Q13191
O15379	P78347
P01137	P58166
Q12873	Q6I9Y2
P16220	Q13315
Q9H446	Q9Y295
P20248	P23511
P20936	P27986
Q09472	Q9UQM7
O00421	Q99731
Q14204	Q71U36
O96013	P52198
P23945	Q01094
P06241	Q13432
Q01814	Q12959
Q13409	Q9BQE3
Q8IZL8	Q9NU22
Q8N1F7	Q9BW27
Q6UX71	Q92542
O15553	P17676
P19532	Q00610
P62993	Q9H0H5
P30042	Q70Z53
P36897	Q7Z418
P62834	Q9UI14
P25116	P63092
Q12933	Q92956
Q9Y230	Q9Y572
O43374	P01112
Q14194	Q9UKV5
P05106	P53708
P51817	Q9UGJ0
O60938	Q08209
Q07889	Q12929
O60216	Q8NDV3
O00329	P63096
5512	Q96SB3
P42224	Q9UQM7
P56856	Q07157
O43439	Q9Y2D9
P01106	P15291
P38405	Q8NH18
P04070	Q9UNN8
P05783	P62714
O14497	Q68CP9
O14512	P48551
406887	P01112
P24941	Q9UJX6
Q01101	Q92796
P20618	Q9P2G9
P62993	Q9Y2W1
P12931	Q9Y4D1
P05106	P35442
O14744	Q92561
Q70EL1	Q96FZ7
P53671	Q9NQU5
P50990	Q04206
P55197	Q03111
P13236	P32302
P84095	Q9P2F6
P00519	Q9H1R2
P63000	Q05513
Q04759	Q99704
P62491	Q6WKZ4
P31749	Q6R327
P01106	Q7Z4Q2
P21333	Q16539
P32418	P54710
O94906	Q15029
O94806	P17252
406947	P14921
P13807	Q9UGJ0
P08754	Q3MJ16
P27361	P53778
O60841	P47813
O95985	P54132
O60671	O60921
P62955	Q9UQM7
Q92574	Q9UGJ0
Q15907	Q6WKZ4
P31947	Q70EL4
P08727	P19012
O00255	Q9UNA1
P46094	Q99731
P52943	P54257
O95267	Q3MJ16
P12644	Q15475
P25786	P53350
Q15436	Q5JRA6
P24864	P30281
P68036	Q13490
P04083	Q13315
P18146	P27797
Q96ER3	Q9Y5J5
Q15796	Q99466
P08069	Q5JWF2
O15239	Q9UI09
P01106	P21796
Q9BUV8	Q9Y5L0
P61981	Q86X29
Q7Z401	Q9NPI1
P01138	P22455
P62070	Q92565
P62875	Q15653
P07333	P08620
O43502	Q06609
P08172	Q96D09
P00533	P05023
Q01130	Q9NRR5
P19838	P42081
P02751	P18084
Q9HB71	Q9Y4K3
P12081	P62195
P15407	P27695
P15923	P63208
P51532	Q16666
O60508	P67809
P04629	P22681
P11802	P30281
O94817	P07814
Q14197	Q5T160
P55081	P61981
P46777	Q92901
Q5T3J3	Q9P2H0
A6NHL2	Q96CW5
Q5EB52	Q8WYH8
Q05481	Q9GZM8
P30559	Q8WXS5
P30504	Q15008
P12931	Q86YH6
P02768	Q9H6Z4
P04183	Q13107
P84098	Q07020
P02647	P04180
P49759	P84103
P49750	Q99873
P68400	Q96EB6
Q53FA7	Q8IWV7
Q00994	Q15834
Q86V88	Q9BSW7
406983	O60315
P04792	Q15181
O60266	P17252
P11229	P63092
P16871	Q9BQE3
Q8IYM9	Q93009
P04049	P04150
