#node1	node2
P22695	P31930
P45983	P62834
P62993	Q9UBC5
P29323	P52799
P50052	Q13424
P46459	Q15262
P01137	P09529
P12004	Q9UK53
P08311	P50453
P41597	Q92583
P09619	Q9BQ66
P49770	Q13144
Q15648	Q99576
Q07020	Q9Y3U8
P0CG47	Q96PM5
Q12888	Q71DI3
Q12933	Q9UBZ4
Q13557	Q14643
Q13490	Q9Y385
P35241	P60709
P05114	Q13216
O00141	P01876
P00519	Q99259
O75410	Q13315
P0CG47	Q15303
P04637	Q9NY72
P10720	P51677
O43559	Q15046
P29597	P40189
P0CG48	P63104
Q01130	Q99590
P06493	P49841
P27986	Q9H222
Q06124	Q13291
P05231	P12272
P52735	P63104
O75821	P20042
P15248	Q08334
P62879	Q15147
Q12873	Q9Y2X7
P08069	Q02750
P15104	Q9H422
O75400	Q13435
Q99459	Q9Y2X0
P53350	Q9H2G2
P59998	P62993
Q13444	Q9BX66
P19622	Q9Y261
P51787	Q9Y4K3
O14901	Q96ST3
Q13530	Q99623
Q07890	Q96HP0
Q92993	Q96RU7
P0C1Z6	P25490
P62979	Q29983
P36897	Q08881
P22612	P27482
P52630	Q9HBE4
P07437	Q9NRI5
P62714	Q9UHV9
P49427	Q9UBQ5
P49841	Q9H095
P12931	Q16832
O43242	Q14164
Q05655	Q9NRA0
P24043	P53708
P12757	Q13219
P08107	P10275
Q8IZJ1	Q92859
O15350	P84022
O95988	P31749
O60861	Q5T5U3
P25963	P78527
P17252	P63096
P10276	P78543
Q15796	Q9Y262
P16885	P29474
P32121	Q8NGH7
O14672	P25025
P42224	P51813
Q12933	Q96CG3
P62424	Q9Y3U8
P43364	Q05516
P28749	Q9HC98
Q13114	Q15628
Q9HAU4	Q9NPB6
P10275	P35869
O43281	P19174
P38432	Q9ULV0
O75794	Q96KM6
P18146	P59990
O60941	P04406
Q14686	Q15796
442901	P16070
Q15038	Q9BSL1
P34969	P84996
P02461	P18564
P16234	P52797
Q5JQF8	Q96DH6
P62158	Q15858
P09917	Q9UKT9
Q00987	Q13547
P39023	P62913
P53350	Q6PGQ7
O96014	Q9NPG1
P05305	Q7L5N1
O95067	P53350
P58012	Q13285
Q99459	Q9Y678
P60673	Q07889
P78406	Q96EE3
O43889	Q53ET0
P27986	P48736
P63167	Q9NVP2
P38405	Q8NGH5
O00754	Q401N2
Q5VTR2	Q9UBW8
P01112	P05129
P26927	Q8WWW0
Q14194	Q9UKV5
Q09028	Q16576
P28482	P42226
Q9Y2W1	Q9Y4K3
P00325	P62258
P15407	P18848
P01871	P02751
O95347	P30480
P04637	Q92630
P15692	P49763
P26992	Q92624
P51116	Q96CW1
O75400	Q9Y4E5
P61586	Q9HCE7
P50395	P61019
A8K6C2	P42702
P27361	P50993
O96006	P07602
P07355	Q06124
P28799	P54259
O96017	Q15257
Q12873	Q99714
P42773	Q16254
P07478	Q9Y6E0
P10721	Q13322
P14866	P51991
P0CG47	P52735
Q13162	Q14197
P37231	P50613
P16333	Q15661
P60866	P62841
Q12809	Q6P1J9
Q96T58	Q99459
O95467	P63211
P04637	Q15102
P21802	Q9HCE7
O00548	Q9Y219
P10600	P45984
O60266	Q05655
O00255	P14136
O75940	Q96JB5
P02775	Q9H0R6
Q13555	Q8TD86
P62316	Q9UNH7
P01889	Q9H9B4
P33993	P49918
P04183	Q9UPQ3
A6NM03	P38405
O00422	Q96ST3
Q5VTD9	Q6X4W1
P12830	Q9UI95
O43294	P46109
P63267	Q07890
P18146	Q96G03
P01375	P18146
Q16586	Q96LD1
P19883	P58166
Q92934	Q9P1W9
P02452	P31431
P60763	Q8NF50
P33991	P78527
P37198	P40425
Q13098	Q16531
Q13751	Q9UKX5
O60884	P84022
P04049	Q07889
P18846	P35680
O15524	P18146
O43521	Q92843
P09493	P63104
Q96QV6	Q9Y5B9
O00763	P54646
P62714	Q9NY47
P78371	Q66LE6
P01106	Q9BYC8
P07437	Q01101
P51965	Q6ZSG1
9757	P16333
P29597	Q99062
Q16531	Q9Y4K3
P15336	Q03060
P38405	Q8NGS1
P61254	Q96BK5
P01889	P61769
P48736	Q13480
O15446	Q08945
P46108	Q9ULV8
Q15714	Q6UB35
P10145	Q00653
P60709	P63261
Q12873	Q9NRH1
P37231	Q92793
P02766	Q12873
Q14289	Q9Y277
O43318	Q9HAT8
P25025	P42830
26765	P55209
P60520	P63104
P51003	Q13242
P22626	Q13247
P13591	Q13315
Q96DW6	Q9H4T2
P27348	Q9Y2J2
Q05D60	Q15834
Q9NZH5	Q9UJX2
P16284	Q06124
Q07812	Q13794
O75578	P46109
Q13535	Q15382
P36897	P84022
P20333	Q9NQH7
P07333	P49767
P14635	Q13042
P63261	Q9Y6K9
P35080	Q03405
P00533	Q96AG4
P06400	P38398
Q13469	Q15759
P20618	Q9P2G9
P24530	P50148
O96019	Q01201
P62979	Q96KM6
O00590	Q16627
O75369	P26012
P38398	Q01094
P10070	P17612
Q01844	Q14289
O95352	Q96EB6
P08631	P22681
O94826	P07900
Q96EL2	Q9NY93
O95298	P03923
Q96S38	Q99624
P16885	P78314
P40763	Q16659
P30480	Q08211
P29400	P55055
Q96Q15	Q9H1J1
P25054	Q04695
P13236	P51684
Q15084	Q92956
P10721	P12931
Q15796	Q8TAK6
P09132	P61011
O43463	Q9UIS9
P27986	Q9NQ76
P46781	Q9NY93
P30542	Q99832
P26367	Q8TF72
Q8IZL8	Q9Y4W2
Q6ZMV9	Q92624
O60353	O75581
Q04864	Q96ST3
P51693	Q5RL73
O94813	Q9HCK4
P19532	Q15843
P49411	Q9Y375
O43741	Q16875
O15121	Q96JH8
P60763	Q7Z6B7
Q8TAQ2	Q92769
Q96BD8	Q9UL45
P25205	Q13177
O43933	Q13315
P26012	P55268
A7MCY6	Q14164
P11362	P35222
P41221	Q9UP38
O15160	Q14191
P51817	Q9Y691
406997	P04637
P04049	Q07890
Q7RTN6	Q9H9S4
P06493	Q9UJX2
Q15788	Q9Y6K9
Q8NHQ1	Q9BPX7
O60684	Q9Y232
P18848	Q9NZJ5
P32121	Q8NH53
P18621	Q00005
P29590	Q8N9N5
Q32MK0	Q9BUA6
P30480	P49189
O96017	P67870
P04899	P32302
O43639	P11274
P35968	Q92569
O60244	O95402
P62906	Q02878
Q07889	Q13972
Q9UIA9	Q9UMR2
P05771	Q8IV61
P23508	Q15185
P78559	Q9GZQ8
P00734	P05546
Q92905	Q9BXR0
P16333	Q9UL42
Q14894	Q9BPX7
P13987	Q6WCQ1
O15392	P55211
P16188	P30457
P05787	P08729
P41235	P82980
Q96AQ6	Q9Y3C0
P07099	P49715
P10301	Q07890
O00264	Q86Y56
P63279	Q9Y6K1
P13942	P31431
P00519	P06733
O95352	P60520
Q15834	Q9H257
P62701	Q13233
P84095	Q96JJ3
Q13368	Q9NVX7
P11802	Q12766
P16471	P35568
O95931	Q9HC52
Q9Y239	Q9Y2Z0
P08253	P14598
Q12933	Q7Z434
O95298	P17568
O95271	Q9UIQ6
P11940	Q8IYD1
26765	Q9Y244
Q9UMX1	Q9Y297
Q15714	Q9UBC3
P52333	Q14765
P62906	P84098
P01111	P14324
P09038	P29466
P01106	P38936
Q86Y56	Q9Y2Q3
Q01130	Q8IYB3
P35658	P84022
O00327	Q14995
O95013	P38405
P42285	Q92945
O43395	O75940
Q8WWY3	Q9BWF3
P46783	P62081
O60381	O75830
P04156	P11021
P61024	Q13309
Q92783	Q9H204
P31749	Q9UHD2
Q13573	Q8NB16
Q7Z434	Q96J02
P18124	P61254
P35225	Q8N6P7
P10275	Q9Y618
O60936	P67870
O95602	Q5UIP0
Q13315	Q4G0J3
Q15428	Q96I25
P36873	Q9Y6K9
O15085	P46108
Q9BQ95	Q9HCE7
Q5TCQ9	Q92823
P16220	P60983
Q7Z2E3	Q9UID6
O60739	P13804
O15198	Q13219
O15198	Q8N3P4
P28715	P41182
Q9Y3T9	Q9Y5J5
P10070	Q92630
P43146	P62266
O00233	O00487
O94906	P83876
Q15370	Q8TEY7
O14908	P98164
P28749	P84022
P68104	Q16891
P10276	P51946
P29350	Q8NHJ6
Q99459	Q99871
494327	O75896
Q03111	Q9UHB7
P10144	Q13813
O15162	P31269
P24522	P45985
Q13191	Q16526
Q04917	Q15843
P42261	Q13554
P10276	Q8N2W9
P15529	P21926
P32121	P47887
Q15147	Q9UK08
P21675	P25054
P23508	P26639
P38405	Q96RD2
P20618	Q13418
P08047	P56645
Q86V81	Q9GZY0
P23508	P83731
P46108	P53779
O00212	Q9BRR9
P63208	Q13309
Q13617	Q9Y376
P07942	Q13683
O15123	P35968
P08243	P18847
