#node1	node2
O76001	P38405
O00238	Q7Z4P5
P42574	P49768
O95837	P21452
P01023	Q16637
P07384	Q6UXS9
O75486	Q9Y4A5
P00450	P02647
O43617	P0DI81
P27037	Q04771
P49770	Q9NR50
P35372	P50150
O95299	Q9Y6M9
P27348	Q8IUF1
Q01668	Q14957
Q14203	Q9H8T0
P03886	Q9Y375
Q15021	Q9HC98
O75534	P27986
406987	Q06945
Q15796	Q9NQ69
P61020	Q13671
P61077	Q96BQ3
P10914	P51610
P01242	Q6UXL0
O60503	P05129
P13612	P53420
P41594	P48454
O75528	Q9NS73
O75478	O75529
O14558	P61981
P35548	Q9Y5V3
P80294	Q96KC8
O00273	Q16611
P30304	Q9UKB1
P05556	Q9UL25
P40425	P55347
P08567	P16871
P04637	P20719
P27361	P53004
Q15014	Q6NV75
P01889	P28072
P32121	Q8NGZ3
P21281	P39656
P62070	Q9HAU4
