#node1	node2
P0CG48	Q00987
P68036	Q13490
P29992	Q9NPC1
Q13547	Q14938
P35568	P45983
P22694	Q8TD86
P17948	Q9Y6I3
O14744	P85299
P67870	Q13625
P68366	Q8NDZ2
O00231	Q9NPI1
Q13535	Q9UER7
Q16665	Q9NWT6
Q7Z417	Q99759
P18146	Q7Z2X4
O14558	P61981
P01308	P21802
P19438	P38646
P25963	Q15628
P18084	Q92752
P01100	P18846
P01308	P98164
P02766	Q99689
O60359	Q15172
Q96S59	Q9H4A3
O14561	Q9P0J0
O15111	Q96MN2
P01009	P51124
O15198	Q13873
Q96C03	Q9UI14
O00755	O14904
P54259	Q8WYB5
Q92698	Q9H7U1
P10586	P12757
O75197	P56705
P07996	P17301
